,Timestamp,Pressure (psi),Temperature (°C),Oil Flow (L/min),Vibration (mm/s),Power Status,Oil Level (%),Tool RPM (rpm),Machine Status,Current (A),scores,anomaly
0,17-09-2023 00:00,45.2,29.8,2.4,0.021,ON,73.5,1505,Running,10.3,0.033640876258811736,1
1,17-09-2023 00:00,48.2,28.8,3.4,0.031,ON,70.5,1805,Running,11.3,0.06600862200571711,1
2,17-09-2023 00:01,45.1,29.9,2.5,0.022,ON,73.3,1508,Running,10.4,0.03630094618360136,1
3,17-09-2023 00:01,48.1,28.9,3.5,0.032,ON,70.3,1808,Running,11.4,0.06644031702161945,1
4,17-09-2023 00:02,45.3,30.0,2.6,0.023,ON,73.2,1512,Running,10.5,0.0400209003872386,1
5,17-09-2023 00:02,48.3,29.0,3.6,0.033,ON,70.2,1812,Running,11.5,0.06639227170717843,1
6,17-09-2023 00:03,45.0,30.1,2.7,0.024,ON,73.1,1515,Running,10.6,0.046513796109872274,1
7,17-09-2023 00:03,48.0,29.1,3.7,0.034,ON,70.1,1815,Running,11.6,0.06719643686905852,1
8,17-09-2023 00:04,45.4,30.2,2.8,0.025,ON,73.0,1518,Running,10.7,0.04868354395726304,1
9,17-09-2023 00:04,48.4,29.2,3.8,0.035,ON,70.0,1818,Running,11.7,0.06639227170717843,1
10,17-09-2023 00:05,45.2,30.3,2.9,0.026,ON,72.8,1521,Running,10.8,0.04991785709350327,1
11,17-09-2023 00:05,48.2,29.3,3.9,0.036,ON,69.8,1821,Running,11.8,0.06804288365349365,1
12,17-09-2023 00:06,45.5,30.4,3.0,0.027,ON,72.7,1525,Running,10.9,0.05318187598736912,1
13,17-09-2023 00:06,48.5,29.4,4.0,0.037,ON,69.7,1825,Running,11.9,0.06447538056173374,1
14,17-09-2023 00:07,45.3,30.5,2.9,0.026,ON,72.6,1528,Running,11.0,0.05231172173229215,1
15,17-09-2023 00:07,48.3,29.5,3.9,0.036,ON,69.6,1828,Running,12.0,0.0682769971848296,1
16,17-09-2023 00:08,45.6,30.6,2.8,0.025,ON,72.5,1531,Running,11.1,0.05321822815013,1
17,17-09-2023 00:08,48.6,29.6,3.8,0.035,ON,69.5,1831,Running,12.1,0.0682769971848296,1
18,17-09-2023 00:09,45.4,30.7,2.7,0.024,ON,72.3,1534,Running,11.2,0.052441591707965585,1
19,17-09-2023 00:09,48.4,29.7,3.7,0.034,ON,69.3,1834,Running,12.2,0.06791357182919622,1
20,17-09-2023 00:10,45.7,30.8,2.6,0.023,ON,72.2,1538,Running,11.3,0.047277963493433384,1
21,17-09-2023 00:10,48.7,29.8,3.6,0.033,ON,69.2,1838,Running,12.3,0.06805406665385472,1
22,17-09-2023 00:11,45.5,30.9,2.5,0.022,ON,72.1,1541,Running,11.4,0.04170147784575273,1
23,17-09-2023 00:11,48.5,29.9,3.5,0.032,ON,69.1,1841,Running,12.4,0.07089542845631958,1
24,17-09-2023 00:12,45.8,31.0,2.4,0.021,ON,72.0,1544,Running,11.5,0.04720721376354031,1
25,17-09-2023 00:12,48.8,30.0,3.4,0.031,ON,69.0,1844,Running,12.5,0.06985978113294233,1
26,17-09-2023 00:13,45.6,31.1,2.3,0.02,ON,71.8,1547,Running,11.6,0.03974121810997222,1
27,17-09-2023 00:13,48.6,30.1,3.3,0.03,ON,68.8,1847,Running,12.6,0.07256431360977256,1
28,17-09-2023 00:14,45.9,31.2,2.2,0.019,ON,71.7,1550,Running,11.7,0.040339314686010375,1
29,17-09-2023 00:14,48.9,30.2,3.2,0.029,ON,68.7,1850,Running,12.7,0.07372759017776886,1
30,17-09-2023 00:15,45.7,31.3,2.1,0.018,ON,71.6,1553,Running,11.8,0.03705660041395531,1
31,17-09-2023 00:15,48.7,30.3,3.1,0.028,ON,68.6,1853,Running,12.8,0.07438161540891663,1
32,17-09-2023 00:16,46.0,31.4,2.0,0.017,ON,71.5,1556,Running,11.9,0.04271964516270477,1
33,17-09-2023 00:16,49.0,30.4,3.0,0.027,ON,68.5,1856,Running,12.9,0.07585219348900074,1
34,17-09-2023 00:17,45.8,31.5,2.1,0.018,ON,71.3,1559,Running,12.0,0.043203555877998845,1
35,17-09-2023 00:17,48.8,30.5,3.1,0.028,ON,68.3,1859,Running,13.0,0.07282101015748255,1
36,17-09-2023 00:18,46.1,31.6,2.2,0.019,ON,71.2,1562,Running,12.1,0.049209359764100125,1
37,17-09-2023 00:18,49.1,30.6,3.2,0.029,ON,68.2,1862,Running,13.1,0.07738013856367809,1
38,17-09-2023 00:19,45.9,31.7,2.3,0.02,ON,71.1,1565,Running,12.2,0.05575969684801174,1
39,17-09-2023 00:19,48.9,30.7,3.3,0.03,ON,68.1,1865,Running,13.2,0.07531481437199883,1
40,17-09-2023 00:20,46.2,31.8,2.4,0.021,ON,71.0,1568,Running,12.3,0.06065733092855752,1
41,17-09-2023 00:20,49.2,30.8,3.4,0.031,ON,68.0,1868,Running,13.3,0.07861374015637357,1
42,17-09-2023 00:21,46.0,31.9,2.5,0.022,ON,70.8,1571,Running,12.4,0.06491807289601437,1
43,17-09-2023 00:21,49.0,30.9,3.5,0.032,ON,67.8,1871,Running,13.4,0.07842685285535989,1
44,17-09-2023 00:22,46.3,32.0,2.6,0.023,ON,70.7,1574,Running,12.5,0.07316742612089555,1
45,17-09-2023 00:22,49.3,31.0,3.6,0.033,ON,67.7,1874,Running,13.5,0.0795441527682409,1
46,17-09-2023 00:23,46.1,32.1,2.7,0.024,ON,70.6,1577,Running,12.6,0.07736501785102379,1
